claim,donor_service,weight,quantity_status,weight_number_id
c1,CARD,0.0044749451102661575,assumed_sensitivity_only,N-SYNTHETIC-WEIGHTS-0001-WEIGHT
c1,ENT,0.07985387416255488,assumed_sensitivity_only,N-SYNTHETIC-WEIGHTS-0002-WEIGHT
c1,GEN,0.16621284853371276,assumed_sensitivity_only,N-SYNTHETIC-WEIGHTS-0003-WEIGHT
c1,GYN,0.09277453664965875,assumed_sensitivity_only,N-SYNTHETIC-WEIGHTS-0004-WEIGHT
c1,NEURO,0.02847594981935561,assumed_sensitivity_only,N-SYNTHETIC-WEIGHTS-0005-WEIGHT
c1,OPHT,0.07104257032096328,assumed_sensitivity_only,N-SYNTHETIC-WEIGHTS-0006-WEIGHT
c1,ORTH,0.1756420705528611,assumed_sensitivity_only,N-SYNTHETIC-WEIGHTS-0007-WEIGHT
c1,PAED,0.0,assumed_sensitivity_only,N-SYNTHETIC-WEIGHTS-0008-WEIGHT
c1,PLAS,0.10778216785282402,assumed_sensitivity_only,N-SYNTHETIC-WEIGHTS-0009-WEIGHT
c1,THOR,0.02892693884594585,assumed_sensitivity_only,N-SYNTHETIC-WEIGHTS-0010-WEIGHT
c1,URO,0.1464359110928177,assumed_sensitivity_only,N-SYNTHETIC-WEIGHTS-0011-WEIGHT
c1,VASC,0.09837818705903993,assumed_sensitivity_only,N-SYNTHETIC-WEIGHTS-0012-WEIGHT
c2,CARD,0.22212017884577148,assumed_sensitivity_only,N-SYNTHETIC-WEIGHTS-0013-WEIGHT
c2,ENT,0.08789829711445432,assumed_sensitivity_only,N-SYNTHETIC-WEIGHTS-0014-WEIGHT
c2,GEN,0.14187398952301544,assumed_sensitivity_only,N-SYNTHETIC-WEIGHTS-0015-WEIGHT
c2,GYN,0.08353917027593681,assumed_sensitivity_only,N-SYNTHETIC-WEIGHTS-0016-WEIGHT
c2,NEURO,0.03540983721255738,assumed_sensitivity_only,N-SYNTHETIC-WEIGHTS-0017-WEIGHT
c2,OPHT,0.0,assumed_sensitivity_only,N-SYNTHETIC-WEIGHTS-0018-WEIGHT
c2,ORTH,0.16257077763821712,assumed_sensitivity_only,N-SYNTHETIC-WEIGHTS-0019-WEIGHT
c2,PAED,0.09683883949052242,assumed_sensitivity_only,N-SYNTHETIC-WEIGHTS-0020-WEIGHT
c2,PLAS,0.07274246306251532,assumed_sensitivity_only,N-SYNTHETIC-WEIGHTS-0021-WEIGHT
c2,THOR,0.0,assumed_sensitivity_only,N-SYNTHETIC-WEIGHTS-0022-WEIGHT
c2,URO,0.0,assumed_sensitivity_only,N-SYNTHETIC-WEIGHTS-0023-WEIGHT
c2,VASC,0.09700644683700968,assumed_sensitivity_only,N-SYNTHETIC-WEIGHTS-0024-WEIGHT
