context,metric,estimate,lower,upper,rows,service_clusters,threshold_used,interval_method,validity,quantity_status,limitation,estimate_number_id,lower_number_id,upper_number_id,rows_number_id,service_clusters_number_id,threshold_used_number_id
all_observed_proxy_outcomes,sensitivity,0.0002726281352235551,0.0,0.0008623539692867044,38135,24,0.62,service_cluster_percentile_bootstrap,invalidated_for_clinical_use_sensitivity_only,invalidated_sensitivity_only,feature_lineage_and_authorized_target_definition_absent,N-MODEL-OPERATING-POINT-0001-ESTIMATE,N-MODEL-OPERATING-POINT-0001-LOWER,N-MODEL-OPERATING-POINT-0001-UPPER,N-MODEL-OPERATING-POINT-0001-ROWS,N-MODEL-OPERATING-POINT-0001-SERVICE_CLUSTERS,N-MODEL-OPERATING-POINT-0001-THRESHOLD_USED
all_observed_proxy_outcomes,specificity,0.9544781965358169,0.9399477733279514,0.9684403092563023,38135,24,0.62,service_cluster_percentile_bootstrap,invalidated_for_clinical_use_sensitivity_only,invalidated_sensitivity_only,feature_lineage_and_authorized_target_definition_absent,N-MODEL-OPERATING-POINT-0002-ESTIMATE,N-MODEL-OPERATING-POINT-0002-LOWER,N-MODEL-OPERATING-POINT-0002-UPPER,N-MODEL-OPERATING-POINT-0002-ROWS,N-MODEL-OPERATING-POINT-0002-SERVICE_CLUSTERS,N-MODEL-OPERATING-POINT-0002-THRESHOLD_USED
all_observed_proxy_outcomes,ppv,0.0006369426751592356,0.0,0.0019570110314593298,38135,24,0.62,service_cluster_percentile_bootstrap,invalidated_for_clinical_use_sensitivity_only,invalidated_sensitivity_only,feature_lineage_and_authorized_target_definition_absent,N-MODEL-OPERATING-POINT-0003-ESTIMATE,N-MODEL-OPERATING-POINT-0003-LOWER,N-MODEL-OPERATING-POINT-0003-UPPER,N-MODEL-OPERATING-POINT-0003-ROWS,N-MODEL-OPERATING-POINT-0003-SERVICE_CLUSTERS,N-MODEL-OPERATING-POINT-0003-THRESHOLD_USED
all_observed_proxy_outcomes,npv,0.8997128401476822,0.8889888825391286,0.9106177710303924,38135,24,0.62,service_cluster_percentile_bootstrap,invalidated_for_clinical_use_sensitivity_only,invalidated_sensitivity_only,feature_lineage_and_authorized_target_definition_absent,N-MODEL-OPERATING-POINT-0004-ESTIMATE,N-MODEL-OPERATING-POINT-0004-LOWER,N-MODEL-OPERATING-POINT-0004-UPPER,N-MODEL-OPERATING-POINT-0004-ROWS,N-MODEL-OPERATING-POINT-0004-SERVICE_CLUSTERS,N-MODEL-OPERATING-POINT-0004-THRESHOLD_USED
all_observed_proxy_outcomes,balanced_accuracy,0.4773754123355202,0.47022621557750105,0.4842731995015161,38135,24,0.62,service_cluster_percentile_bootstrap,invalidated_for_clinical_use_sensitivity_only,invalidated_sensitivity_only,feature_lineage_and_authorized_target_definition_absent,N-MODEL-OPERATING-POINT-0005-ESTIMATE,N-MODEL-OPERATING-POINT-0005-LOWER,N-MODEL-OPERATING-POINT-0005-UPPER,N-MODEL-OPERATING-POINT-0005-ROWS,N-MODEL-OPERATING-POINT-0005-SERVICE_CLUSTERS,N-MODEL-OPERATING-POINT-0005-THRESHOLD_USED
all_observed_proxy_outcomes,auc,0.012299786760455744,0.01092996153785351,0.0135703681651017,38135,24,0.62,service_cluster_percentile_bootstrap,invalidated_for_clinical_use_sensitivity_only,invalidated_sensitivity_only,feature_lineage_and_authorized_target_definition_absent,N-MODEL-OPERATING-POINT-0006-ESTIMATE,N-MODEL-OPERATING-POINT-0006-LOWER,N-MODEL-OPERATING-POINT-0006-UPPER,N-MODEL-OPERATING-POINT-0006-ROWS,N-MODEL-OPERATING-POINT-0006-SERVICE_CLUSTERS,N-MODEL-OPERATING-POINT-0006-THRESHOLD_USED
all_observed_proxy_outcomes,brier,0.25173230718998296,0.23893586331323657,0.26457498333920365,38135,24,0.62,service_cluster_percentile_bootstrap,invalidated_for_clinical_use_sensitivity_only,invalidated_sensitivity_only,feature_lineage_and_authorized_target_definition_absent,N-MODEL-OPERATING-POINT-0007-ESTIMATE,N-MODEL-OPERATING-POINT-0007-LOWER,N-MODEL-OPERATING-POINT-0007-UPPER,N-MODEL-OPERATING-POINT-0007-ROWS,N-MODEL-OPERATING-POINT-0007-SERVICE_CLUSTERS,N-MODEL-OPERATING-POINT-0007-THRESHOLD_USED
all_observed_proxy_outcomes,log_loss,0.7454607203219399,0.7195659082605482,0.7718115581396049,38135,24,0.62,service_cluster_percentile_bootstrap,invalidated_for_clinical_use_sensitivity_only,invalidated_sensitivity_only,feature_lineage_and_authorized_target_definition_absent,N-MODEL-OPERATING-POINT-0008-ESTIMATE,N-MODEL-OPERATING-POINT-0008-LOWER,N-MODEL-OPERATING-POINT-0008-UPPER,N-MODEL-OPERATING-POINT-0008-ROWS,N-MODEL-OPERATING-POINT-0008-SERVICE_CLUSTERS,N-MODEL-OPERATING-POINT-0008-THRESHOLD_USED
all_observed_proxy_outcomes,calibration_intercept,-7.286871223903536,,,38135,24,0.62,point_only,invalidated_for_clinical_use_sensitivity_only,invalidated_sensitivity_only,threshold_consequence_ratio_assumes_score_is_calibrated_probability,N-MODEL-OPERATING-POINT-0009-ESTIMATE,,,N-MODEL-OPERATING-POINT-0009-ROWS,N-MODEL-OPERATING-POINT-0009-SERVICE_CLUSTERS,N-MODEL-OPERATING-POINT-0009-THRESHOLD_USED
all_observed_proxy_outcomes,calibration_slope,-3.9097535036319444,,,38135,24,0.62,point_only,invalidated_for_clinical_use_sensitivity_only,invalidated_sensitivity_only,threshold_consequence_ratio_assumes_score_is_calibrated_probability,N-MODEL-OPERATING-POINT-0010-ESTIMATE,,,N-MODEL-OPERATING-POINT-0010-ROWS,N-MODEL-OPERATING-POINT-0010-SERVICE_CLUSTERS,N-MODEL-OPERATING-POINT-0010-THRESHOLD_USED
