context,bin,n,score_min,score_max,mean_predicted,observed_rate,observed_lower,observed_upper,service_clusters,interval_method,validity,quantity_status,limitation,bin_number_id,n_number_id,score_min_number_id,score_max_number_id,mean_predicted_number_id,observed_rate_number_id,observed_lower_number_id,observed_upper_number_id,service_clusters_number_id
all_observed_proxy_outcomes,1,3813,0.0184,0.1455,0.08777783897193811,0.8271702071859428,0.8103690096051084,0.84270424780485,24,service_cluster_percentile_bootstrap,invalidated_for_clinical_use_sensitivity_only,invalidated_sensitivity_only,outcome_proxy_and_feature_lineage_not_clinically_authorized,N-MODEL-CALIBRATION-0001-BIN,N-MODEL-CALIBRATION-0001-N,N-MODEL-CALIBRATION-0001-SCORE_MIN,N-MODEL-CALIBRATION-0001-SCORE_MAX,N-MODEL-CALIBRATION-0001-MEAN_PREDICTED,N-MODEL-CALIBRATION-0001-OBSERVED_RATE,N-MODEL-CALIBRATION-0001-OBSERVED_LOWER,N-MODEL-CALIBRATION-0001-OBSERVED_UPPER,N-MODEL-CALIBRATION-0001-SERVICE_CLUSTERS
all_observed_proxy_outcomes,2,3814,0.1455,0.2745,0.22424027267960145,0.1324069218668065,0.0838898123923279,0.1970373424879506,24,service_cluster_percentile_bootstrap,invalidated_for_clinical_use_sensitivity_only,invalidated_sensitivity_only,outcome_proxy_and_feature_lineage_not_clinically_authorized,N-MODEL-CALIBRATION-0002-BIN,N-MODEL-CALIBRATION-0002-N,N-MODEL-CALIBRATION-0002-SCORE_MIN,N-MODEL-CALIBRATION-0002-SCORE_MAX,N-MODEL-CALIBRATION-0002-MEAN_PREDICTED,N-MODEL-CALIBRATION-0002-OBSERVED_RATE,N-MODEL-CALIBRATION-0002-OBSERVED_LOWER,N-MODEL-CALIBRATION-0002-OBSERVED_UPPER,N-MODEL-CALIBRATION-0002-SERVICE_CLUSTERS
all_observed_proxy_outcomes,3,3813,0.2745,0.3276,0.30309740361919746,0.0013113034356150013,0.00023820867079561695,0.0028902198314359503,24,service_cluster_percentile_bootstrap,invalidated_for_clinical_use_sensitivity_only,invalidated_sensitivity_only,outcome_proxy_and_feature_lineage_not_clinically_authorized,N-MODEL-CALIBRATION-0003-BIN,N-MODEL-CALIBRATION-0003-N,N-MODEL-CALIBRATION-0003-SCORE_MIN,N-MODEL-CALIBRATION-0003-SCORE_MAX,N-MODEL-CALIBRATION-0003-MEAN_PREDICTED,N-MODEL-CALIBRATION-0003-OBSERVED_RATE,N-MODEL-CALIBRATION-0003-OBSERVED_LOWER,N-MODEL-CALIBRATION-0003-OBSERVED_UPPER,N-MODEL-CALIBRATION-0003-SERVICE_CLUSTERS
all_observed_proxy_outcomes,4,3814,0.3276,0.3695,0.34885477189302566,0.00026219192448872575,0.0,0.0008101648713579728,24,service_cluster_percentile_bootstrap,invalidated_for_clinical_use_sensitivity_only,invalidated_sensitivity_only,outcome_proxy_and_feature_lineage_not_clinically_authorized,N-MODEL-CALIBRATION-0004-BIN,N-MODEL-CALIBRATION-0004-N,N-MODEL-CALIBRATION-0004-SCORE_MIN,N-MODEL-CALIBRATION-0004-SCORE_MAX,N-MODEL-CALIBRATION-0004-MEAN_PREDICTED,N-MODEL-CALIBRATION-0004-OBSERVED_RATE,N-MODEL-CALIBRATION-0004-OBSERVED_LOWER,N-MODEL-CALIBRATION-0004-OBSERVED_UPPER,N-MODEL-CALIBRATION-0004-SERVICE_CLUSTERS
all_observed_proxy_outcomes,5,3813,0.3695,0.4066,0.3883959349593496,0.0,0.0,0.0,24,service_cluster_percentile_bootstrap,invalidated_for_clinical_use_sensitivity_only,invalidated_sensitivity_only,outcome_proxy_and_feature_lineage_not_clinically_authorized,N-MODEL-CALIBRATION-0005-BIN,N-MODEL-CALIBRATION-0005-N,N-MODEL-CALIBRATION-0005-SCORE_MIN,N-MODEL-CALIBRATION-0005-SCORE_MAX,N-MODEL-CALIBRATION-0005-MEAN_PREDICTED,N-MODEL-CALIBRATION-0005-OBSERVED_RATE,N-MODEL-CALIBRATION-0005-OBSERVED_LOWER,N-MODEL-CALIBRATION-0005-OBSERVED_UPPER,N-MODEL-CALIBRATION-0005-SERVICE_CLUSTERS
all_observed_proxy_outcomes,6,3814,0.4066,0.4424,0.4245404824331411,0.00026219192448872575,0.0,0.000823282429982406,24,service_cluster_percentile_bootstrap,invalidated_for_clinical_use_sensitivity_only,invalidated_sensitivity_only,outcome_proxy_and_feature_lineage_not_clinically_authorized,N-MODEL-CALIBRATION-0006-BIN,N-MODEL-CALIBRATION-0006-N,N-MODEL-CALIBRATION-0006-SCORE_MIN,N-MODEL-CALIBRATION-0006-SCORE_MAX,N-MODEL-CALIBRATION-0006-MEAN_PREDICTED,N-MODEL-CALIBRATION-0006-OBSERVED_RATE,N-MODEL-CALIBRATION-0006-OBSERVED_LOWER,N-MODEL-CALIBRATION-0006-OBSERVED_UPPER,N-MODEL-CALIBRATION-0006-SERVICE_CLUSTERS
all_observed_proxy_outcomes,7,3813,0.4424,0.4784,0.4602725150799895,0.0,0.0,0.0,24,service_cluster_percentile_bootstrap,invalidated_for_clinical_use_sensitivity_only,invalidated_sensitivity_only,outcome_proxy_and_feature_lineage_not_clinically_authorized,N-MODEL-CALIBRATION-0007-BIN,N-MODEL-CALIBRATION-0007-N,N-MODEL-CALIBRATION-0007-SCORE_MIN,N-MODEL-CALIBRATION-0007-SCORE_MAX,N-MODEL-CALIBRATION-0007-MEAN_PREDICTED,N-MODEL-CALIBRATION-0007-OBSERVED_RATE,N-MODEL-CALIBRATION-0007-OBSERVED_LOWER,N-MODEL-CALIBRATION-0007-OBSERVED_UPPER,N-MODEL-CALIBRATION-0007-SERVICE_CLUSTERS
all_observed_proxy_outcomes,8,3814,0.4784,0.5185,0.4976909281594127,0.0,0.0,0.0,24,service_cluster_percentile_bootstrap,invalidated_for_clinical_use_sensitivity_only,invalidated_sensitivity_only,outcome_proxy_and_feature_lineage_not_clinically_authorized,N-MODEL-CALIBRATION-0008-BIN,N-MODEL-CALIBRATION-0008-N,N-MODEL-CALIBRATION-0008-SCORE_MIN,N-MODEL-CALIBRATION-0008-SCORE_MAX,N-MODEL-CALIBRATION-0008-MEAN_PREDICTED,N-MODEL-CALIBRATION-0008-OBSERVED_RATE,N-MODEL-CALIBRATION-0008-OBSERVED_LOWER,N-MODEL-CALIBRATION-0008-OBSERVED_UPPER,N-MODEL-CALIBRATION-0008-SERVICE_CLUSTERS
all_observed_proxy_outcomes,9,3813,0.5185,0.5719,0.5430703120902177,0.00026226068712300026,0.0,0.0009003736589201875,24,service_cluster_percentile_bootstrap,invalidated_for_clinical_use_sensitivity_only,invalidated_sensitivity_only,outcome_proxy_and_feature_lineage_not_clinically_authorized,N-MODEL-CALIBRATION-0009-BIN,N-MODEL-CALIBRATION-0009-N,N-MODEL-CALIBRATION-0009-SCORE_MIN,N-MODEL-CALIBRATION-0009-SCORE_MAX,N-MODEL-CALIBRATION-0009-MEAN_PREDICTED,N-MODEL-CALIBRATION-0009-OBSERVED_RATE,N-MODEL-CALIBRATION-0009-OBSERVED_LOWER,N-MODEL-CALIBRATION-0009-OBSERVED_UPPER,N-MODEL-CALIBRATION-0009-SERVICE_CLUSTERS
all_observed_proxy_outcomes,10,3814,0.5719,0.7601,0.6205819087572102,0.00026219192448872575,0.0,0.0008195154979595991,24,service_cluster_percentile_bootstrap,invalidated_for_clinical_use_sensitivity_only,invalidated_sensitivity_only,outcome_proxy_and_feature_lineage_not_clinically_authorized,N-MODEL-CALIBRATION-0010-BIN,N-MODEL-CALIBRATION-0010-N,N-MODEL-CALIBRATION-0010-SCORE_MIN,N-MODEL-CALIBRATION-0010-SCORE_MAX,N-MODEL-CALIBRATION-0010-MEAN_PREDICTED,N-MODEL-CALIBRATION-0010-OBSERVED_RATE,N-MODEL-CALIBRATION-0010-OBSERVED_LOWER,N-MODEL-CALIBRATION-0010-OBSERVED_UPPER,N-MODEL-CALIBRATION-0010-SERVICE_CLUSTERS
